ending1,ending2,ending3,ending4,label
arrive at someone's mansion.,pull at a pedestrian.,sit in the kitchen.,walk into the school.,3
removes her hand with his.,runs surprised and stumbles.,comes in through a window.,"stops, turns, looks at him.",3
washes his face in the sink.,walks past the door.,plays hopscotch on a child.,plays on the wall.,1
are seen in the sea.,get out of the fence.,are floating in the tubes.,relax on the boat.,3
pulls out of the pond.,assembles the booth.,looks away from his uncle.,touches a hand on a high.,2
barrels over the road.,approaches him on the wheel.,is looking to her phone.,makes it to the door.,2
winces as she turns it over.,is calling to the bank.,spots fiair inside a bus.,eyebrows drift to her head.,0
yanks off her pants.,folds his hands in his chair.,gets to his feet.,turns to spot her beyond.,2
heads toward the kitchen.,bursts into the golden hall.,strolls into our direction.,leaps into the fireplace.,1
is - disgustedly young ss.,looks out someone's window.,is asleep on the sofa.,kneels down beside someone.,3
lands onto a mat on a mat.,measure the distance.,is shown again several times.,swings it several times.,2
shoots a burst of flame.,dances back to someone.,bounces through the balcony.,works the light from a case.,1
are hugging the camera.,are running around the sides.,are standing on the hillside.,are in a paintball field.,1
are talking to each other.,are in a paintball field.,are running in a green court.,are standing on the hillside.,2
runs up to him.,stops in front of someone.,stares at his wife.,shakes out the card.,0
turns back to someone.,presses his lips together.,puts his arm around them.,shakes out the card.,1
opens the door to someone.,looks down at embroidery.,pushes the door shut.,washes his face.,0
gets out of the car.,retrieves her pair of shorts.,runs a hand along his skin.,leans on his stomach again.,0
is slid into the hamper.,is as light as he can see.,on a window near the water.,brings him to abrupt hold.,3
sweep away several feet.,try to put out a fire.,rush past the trucks.,fall as closely as col.,1
is moving wrapping leaves.,are shown with mallets.,are seen behind the machete.,are added to keep it going.,3
's a big map of china.,eyes the young woman.,sullenly stares thoughtfully.,'s rear axe handle.,0
put down the board again.,stay on either side.,open a trophy for him.,steps out a sneer.,1
rise from an angle.,appear from behind the table.,appear from a bow.,dot its lower half.,3
open a trophy for him.,ride on top of a trail house.,steps out a sneer.,put down the board again.,3
knocks someone down on him.,gives the mayhem a grimace.,urges someone to intervene.,walks out of to her.,2
rises from his yacht.,knocks someone down on him.,gives the mayhem a grimace.,walks out of to her.,0
cuts them up with a stick.,unlocks the passenger door.,draws himself upside down.,holds out a stack of money.,1
plays a park toy.,places something in the sink.,puts one lid on the glass.,eats the ice cream cone.,3
continue to read it.,want to fix it.,went into the holes.,begin to stir it.,2
see the jungle on the beach.,see a white dog.,see a fence in a church.,see a worker parasailing.,1
see the jungle on the beach.,see a kayak and boat.,see a lady work.,see a fence in a church.,1
pause for a discreet pause.,file over to the dining area.,drag the wand towards him.,peer into a wide hill.,1
drag the wand towards him.,pause for a discreet pause.,hit the ground hard.,peer into a wide hill.,2
forces his arms out.,points his gun at someone.,trudges off after her.,whispers to someone's ear.,0
bows her head.,remains frozen in place.,puts the phone on its ear.,gazes forward.,1
struggles by the bed.,climbs down over his knee.,stares in her direction.,throws the lamp aside.,2
goes off the court.,hits him in the head.,jumps back into the net.,lands on the man's face.,0
looks up at him.,sits at a table.,climbs off the bed.,holds out her wand.,1
are still silent.,mill about.,take their breaths in unison.,turn to the street again.,3
share a wry look.,see someone jump rope.,drive in a gloomy corridor.,tear open the office door.,0
slows to a halt.,crashes into someone's face.,pulls out of the parking lot.,pulls off and flies through.,0
huddle one at a time.,run out of the ballroom.,make way for her.,clap for the dog.,2
rises all over the ground.,is wrapped in that once more.,is sitting with someone.,gives a mild shrug.,3
is talking quite nearby.,puts down his glasses.,drops it in a cafe.,gives a big smile.,3
draws his mace and lights it.,spreads his arms wide.,dives out into the air.,is so hard on someone too.,1
is pursed as he looks at it.,is covered with sweat.,opens as if to speak.,falls apart in a deep sigh.,2
stands on the stoop.,joins them to watch closely.,hops up alongside her.,sit near his desk.,0
halt and face him.,beckon him from leaving.,begin to walk on a platform.,holds a pet by a rack.,0
leaps into someone's arms.,shrugs his brow grimly.,runs into the office.,turns to the lieutenant.,1
kicks his board in bars.,aims a pistol at the someone.,falls across the sea.,flies backwards to his feet.,3
slides down the slide.,walks away from the camera.,runs down the passageway.,waves at the camera.,3
holds the lid open.,stops and turns around.,runs down the passageway.,slides down the slide.,1
frees himself in his arms.,reaches out underneath him.,tosses the watermelon back.,glances drowsily at someone.,3
is asleep on someone's bed.,is in head kitchen.,'s hair is disheveled.,looks at someone's clock.,2
looks at someone's clock.,is in head kitchen.,is asleep on someone's bed.,pulls a towel from his ear.,2
sit at the kitchen table.,pass in other ways.,fill the king's driveway.,float up a steep ride.,2
notices and gives a shy nod.,pours a small canister.,rips the door open.,tries to open a cabinet.,3
fall from the floor.,are back at the camera.,drop onto the ground again.,are now blown to the ground.,3
are blowing onto the lawn.,drop onto the ground again.,are back at the camera.,fall from the floor.,0
holds out his finger.,presses his lips together.,looks up at his building.,takes a calming breath.,1
get together in the air.,are then seen using a seesaw.,try to win and stand.,perform a routine on a beam.,1
makes a long shot.,walks in to see.,opens a new room.,laughs in a bathroom.,3
crouches with his teeth.,attend to their family.,reaches to pick her up.,reads the gift tag.,3
scowls at the artwork.,takes it from him.,opens the back of his chair.,reads his license.,3
look on stony - faced.,wring out a company form.,sits firmly on his feet.,is launched and severe.,0
see the logo on the screen.,see the screen on the screen.,see bikers bike up.,see the ending screen again.,0
joins in front of him.,turns to look away.,returns to the radio.,wags the pierced head.,1
runs further up the stairs.,wags the pierced head.,returns to the radio.,goes a little faster.,3
joins in front of him.,returns to the radio.,runs further up the stairs.,wags the pierced head.,0
moves up to the table.,follows he stands there.,keeps her nose up.,is blow dead in the head.,0
gives a resigned feebly.,gaze at each other.,share a gentle kiss.,gazes at someone.,1
is still sitting next to him.,is eating a dish at the sink.,is put into a horse.,is showing a package of vet.,0
is showing a package of vet.,is put into a horse.,is eating a dish at the sink.,is standing with it.,3
gets into his seat.,dances past with someone.,clutches someone's hand.,kicks him in the lifeboat.,1
waves to her friends.,returns to the lifeboat.,faces the cave owner.,runs away lands on the roof.,0
fall onto the dirt ground.,run after the ball.,ride the horses back.,go around before a match.,0
is a swarthy white boy.,is close to the other man.,gets injured and vomit.,gets the other to push in.,2
lie down on the bed.,stand at the firewood.,are lined up for their time.,hurry into someone's bedroom.,3
leads them to the floor.,strides out of the chamber.,focuses on a light switch.,bursts into another room.,3
"leans over, staring down.",grabs his finger.,chases after him and someone.,sees someone awaits his gang.,0
"charges, someone charges.",ride to the penguins.,and someone wash through.,run backwards over mud.,3
start to the other side.,stick out of people.,get to their feet.,zoom in on students.,2
stick out of people.,walk across the street.,zoom in on students.,start to the other side.,1
show off a canvas tile.,are painting a fence.,get down men while further.,start to chop up wood.,0
bowls on a desert road.,emerge from their center.,pass on a dirt.,has been being rounded up.,3
kisses someone's cheek.,hurries out to meet her.,intercepts her by the hand.,shifts his eyes uneasily.,3
gets off his skateboard.,flips through the slack line.,takes off a skateboard.,falls on the ground.,3
has to point end.,shakes a hand in a cafe.,hurries up behind her.,runs out of someone's rooms.,2
sucks in her cheeks.,runs out of someone's rooms.,has to point end.,shakes a hand in a cafe.,0
distributes iraqi.,shoots in slow motion.,rides with it to his feet.,faces the possessed officer.,3
igniting a fiery blaze.,causing wires to ripple out.,submerges more of them.,fly on the water.,0
look around at the ocean.,kite flying on the shore.,talk to the camera.,falls in the water.,3
jumps in the river.,walk away into the water.,glides over the ground.,rides horses down a river.,0
picks up the pole.,gets out to grasp the wheel.,delivers a shy retreat.,takes the victim's wrist.,3
pushes the guy to a sidewalk.,puts on the piece of paper.,blows out the blasts.,gives someone a point.,3
walks over to the microphone.,docks a polaroid package.,escorts him down the path.,drops as a ref strikes.,3
float in the air.,"arrive by a lake, the school.",read the latest decree.,sits on a boogie board.,2
is talking behind the camera.,is standing next to them.,is talking to the camera.,is holding an ice cream cone.,2
prepares to strike a strike.,is shown from several angles.,is showing their each act.,looks paying for the camera.,1
is stoic and foreboding.,is horrified and inscrutable.,is only grim and intense.,"is somber, horrified.",0
gives a wounded nod.,puts down its map.,sends a text message.,shows her the calculator.,3
carries a tiny figure.,appears in the distance.,is in the door for him.,footage of someone paddling.,1
walks toward the kids.,moves out the door.,leads him to the dance floor.,looks up from her sky book.,1
"freezes, almost falling.",'s been savage.,falls to his knees.,shows a final frown.,0
crawls to the back.,shows a final frown.,'s been savage.,falls to his knees.,0
is in a steak.,gives someone a high five.,reads 2: twelve minutes.,shows one minute remaining.,3
walks into the hall.,closes the door again.,notices him watching o..,peeks through the window.,1
goes to the mirrored window.,blinks his bleary eyes.,walks up beside him.,walks up behind him.,3
walks up beside him.,walks up to someone.,blinks his bleary eyes.,goes to the mirrored window.,2
are breaking on the bars.,are on the wooden swing.,sit on either side.,bounce up in the center.,2
sneaks up behind him.,throws it into position.,go in a chokehold.,are evacuating the villa.,3
are playing with a rope.,backs away from her.,runs into a clearing.,run after the dog.,0
lifts him in his arms.,takes a seat far back.,touches a large movie camera.,seizes it by its neck.,2
turns her back off the boy.,stares back at someone.,falls back to her.,breaks off a cricket game.,1
burst in on him.,breaks off a cricket game.,falls back to her.,turns her back off the boy.,0
falls back to her.,rests her hands on her back.,turns her back off the boy.,breaks off a cricket game.,1
falls someone among the king.,stand around and just stare.,are moving away too.,is reflected in people.,3
eyes someone and someone.,closes the door behind her.,stops by the window.,"next, he reaches to the door.",1
turn the faucet on.,look at each other.,see a text on the screen.,are washing dishes in a room.,0
looks up to someone.,sits on a bed in the center.,breaks some bread in half.,smacks someone with a sword.,2
's covered by a blanket.,comes over to the stove.,walks down the hallway.,looks up at his portrait.,0
rests on someone's back.,lulls to one side.,is high above the river.,is plunged back up.,1
hands someone a paper cup.,fills a bag with beer.,stares at her fearfully.,takes off her coat.,0
runs up towards the building.,struggles to remain composed.,approaches someone's office.,leans back over his shoulder.,2
is calling someone's name.,puts on the hat.,hangs out a picture.,"shoots, then alley.",0
steps off the roof.,walks into the cabin.,looks into the room.,lies on the train.,2
pushes his knife away.,sit alone in a hotel room.,turns to someone's father.,are joined by a woman.,2
sit alone in a hotel room.,pushes his knife away.,turns around to face someone.,are joined by a woman.,2
takes someone's hand.,had managed back to the door.,get a paper parcel.,"can be dead, too.",0
looks at his son.,stares up at someone.,"nods, then walks away.",smiles at the tv.,0
are shown in a large bowl.,is added to the meat.,begin to slice on the bread.,is placed on a plate.,1
is placed on the counter.,begin to slice on the bread.,is placed on a counter.,are shown in a large bowl.,0
appear briefly in the middle.,are shown in the video tube.,slip across the ski.,are shown on the screen.,3
slip across the ski.,engage in a game of croquet.,appear briefly in the middle.,are shown in the video tube.,1
looks at him evenly.,jogs back to him.,taps a foot ring.,yanks out a handful.,0
are once again by a home.,runs off as he charges.,skateboard around a truck.,cock the luxury craft.,2
creep back from the surface.,are in front of the window.,ignite from the engines.,fall on the chandelier.,2
rises to her feet.,balances as he holds.,hides behind her trunk.,holds out his neuralyzer.,0
peeks out a window.,brings her face.,slashes open a window.,shifts his mistress eyes.,0
puts down his quill.,rushes toward a painting.,looks hard at people.,lies box in bed.,1
connects it to someone.,lies on her couch.,follows reigns to someone.,watches the approaching car.,1
is added to a skyscraper.,sits on a nest.,chases off his son.,floats in its mouth.,1
talks to the smacking.,hit the disk from his board.,takes photos while sitting.,boy begins break dancing.,2
talks to the smacking.,boy begins break dancing.,of a tube falls.,hit the disk from his board.,2
hits the one into a net.,is hit by the goalie.,talks to the camera.,hit the ball into the goal.,3
start to chase down the cow.,ride out fast after the calf.,come off and mossy the calf.,are dressed in red.,1
chases after the child.,lunges for the dog.,holds it to her chest.,jumps to get it.,3
pushes her hair back.,gets on the floor and talks.,grabs a glass and the sink.,puts presents in a box.,0
steps up to someone.,extends its hand as it falls.,then appears in front of her.,come on to focus.,0
are amongst the stands.,looks up in someone 'face.,appear with pieces of paper.,appear on his skin.,3
slaps someone's hand.,looks at someone and shrugs.,"stares at him, then rises.",turns from the window.,3
"stares at him, then rises.",hands him his cell.,looks at someone and shrugs.,slaps someone's hand.,1
roll down her face.,roll out through her fingers.,seem welling in her eyes.,shine out of someone's hands.,1
puts on his ticket.,is two years old.,throws his trunk and plods.,gives someone a hug.,3
are lying on the second roof.,pull up under the sand.,collide into one another.,win his game.,2
smile crosses her face.,shows someone glaring at it.,pop dot his lips.,comes into his eyes.,3
are lying on the second roof.,win his game.,run on a wall.,pull up under the sand.,0
ends her pretends.,bounces onto the girl.,tosses a ball.,drops the stick and gives up.,3
swings it over his head.,kneels in front of people.,does n't seem to notice.,throws his head down.,2
stares at the photo.,sets the flashlight aside.,puts on his helmet.,faces a sustained frown.,0
stares at his dad.,"stirs, his features closed.",starts toward the train car.,sets the spiked end spinning.,3
place her hand.,smiles again from her seat.,swipes at her son.,glisten in someone's eyes.,3
hits the pavement and falls.,goes off in the car.,gun is aimed at him.,veers up in his head.,1
climb into a sedan.,turn into someone's car.,reach the lower level.,struggle for hand holds.,3
gives not a smile.,is still pouring it quickly.,rises from his glowing hoop.,falls out over and over.,3
is wearing a blue shirt.,is playing drinking tea.,is playing tennis on a pier.,shows the time to the camera.,0
see the jump product.,see the location of the tile.,see the exterior of the tent.,see the front of the house.,3
can't see cups.,calls to the thief.,gives the girl the darts.,wants to cut some darts.,2
is playing a mocking staff.,pulls him inside.,eyes someone with a smile.,adds it with a surf cap.,2
is playing a mocking staff.,turns off the tv.,pulls him inside.,adds it with a surf cap.,1
get from their rafts.,walks out to someone again.,pass under the bridge.,sailing in the ocean.,2
rip free from their posts.,name in closed bags.,hover at a tree.,return to the audience.,0
takes his breath.,shakes his head and nods.,extends his hands toward it.,reaches out to his soup.,2
turns her back to us.,rolls his eyes solemnly.,"shakes his head, frowning.",scowls over her shoulder.,2
shifts her sober gaze.,scowls over her shoulder.,turns her back to us.,returns a tender gaze.,3
deflects someone's hair.,grabs a pile of rubble.,notices and looks on.,resumes his full gallop.,3
moves around and fourth.,hops to the side.,laying down looking down.,proceeds to smile slightly.,3
is seen jumping over a fence.,holds a second stick.,is seen wiping the window.,moves around behind her.,3
